idRuta,rutaDirection,estNumber,estId
218,B,34,2440
218,B,35,2799
218,B,36,2800
218,B,37,3016
218,B,38,3017
218,B,39,3018
218,B,40,2801
218,B,41,2802
218,B,42,2803
218,B,43,696
218,B,44,698
218,B,45,699
218,B,46,702
218,B,47,705
218,B,48,708
218,B,49,711
218,B,50,2545
345,,0,7687
345,,1,7686
345,,2,7685
345,,3,7681
345,,4,7603
345,,5,7605
345,,6,7607
345,,7,7608
345,,8,7612
345,,9,7613
345,,10,7614
28,A,1,3687
28,A,2,1440
28,A,3,1715
28,A,4,2332
28,A,5,2145
28,A,6,2304
28,A,7,243
28,A,8,245
28,A,9,246
28,A,10,249
28,A,11,250
28,A,12,252
28,A,13,255
28,A,14,258
28,A,15,262
28,A,16,266
28,A,17,271
28,A,18,275
28,A,19,278
28,A,20,281
28,A,21,284
28,A,22,2398
28,A,23,285
28,A,24,286
28,A,25,287
28,A,26,288
28,A,27,289
28,A,28,290
28,A,29,2110
28,A,30,2111
28,A,31,2112
28,A,32,1932
28,A,33,1933
28,A,34,2259
28,A,35,2260
28,A,36,2261
28,A,37,2401
28,A,38,1997
28,A,39,1815
28,A,40,1816
28,A,41,2262
28,A,42,2732
28,A,43,2733
28,A,44,2734
28,A,45,2113
28,A,46,1856
28,A,47,3093
28,A,48,5196
28,A,49,5204
28,A,50,4617
28,A,51,2095
28,A,52,2096
28,B,1,3687
28,B,2,1440
28,B,3,1715
28,B,4,2332
28,B,5,2145
28,B,6,2304
28,B,7,243
28,B,8,245
28,B,9,246
28,B,10,249
28,B,11,250
28,B,12,252
28,B,13,255
28,B,14,258
28,B,15,262
28,B,16,266
28,B,17,271
28,B,18,275
28,B,19,278
28,B,20,281
28,B,21,284
28,B,22,2398
28,B,23,285
28,B,24,286
28,B,25,287
28,B,26,288
28,B,27,289
28,B,28,290
28,B,29,2110
28,B,30,2111
28,B,31,2112
28,B,32,1932
28,B,33,1933
28,B,34,2259
28,B,35,2260
28,B,36,2261
28,B,37,2401
28,B,38,1997
28,B,39,1815
28,B,40,1816
28,B,41,2262
28,B,42,2732
28,B,43,2733
28,B,44,2734
28,B,45,2113
28,B,46,1856
28,B,47,3093
28,B,48,5196
28,B,49,5204
28,B,50,4617
28,B,51,2095
28,B,52,2096
535,,1,146
543,,1,6393
543,,2,6426
543,,3,2059
543,,4,6419
543,,5,1795
543,,6,2337
543,,7,1958
543,,8,2060
543,,9,1796
543,,10,2061
543,,11,2062
543,,12,2063
543,,13,2064
385,,0,7734
385,,1,7724
385,,2,7725
385,,3,7726
385,,4,7736
385,,5,7735
385,,6,7679
385,,7,7680
385,,8,7682
385,,9,7683
385,,10,7684
385,,11,7685
385,,12,7686
385,,13,7687
343,,0,7709
343,,1,7708
343,,2,7600
343,,3,7596
343,,4,7593
343,,5,7590
343,,6,7589
343,,7,7603
343,,8,7605
343,,9,7606
343,,10,7610
343,,11,7612
343,,12,7616
343,,13,7617
336,,0,7646
336,,1,7642
336,,2,7603
219,A,1,5180
219,A,2,5179
219,A,3,2898
219,A,4,2476
219,A,5,4305
219,A,6,4306
219,A,7,4615
219,A,8,4614
219,A,9,6953
219,A,10,6954
219,A,11,6955
219,A,12,6956
219,A,13,3761
219,A,14,4414
219,A,15,4415
219,A,16,2916
219,A,17,3037
219,A,18,5341
219,A,19,5342
219,A,20,5343
219,A,21,5344
219,A,22,5345
219,A,23,111
219,A,24,113
219,A,25,115
219,A,26,1955
219,A,27,2053
219,A,28,2475
219,A,29,698
219,A,30,699
219,A,31,4321
219,A,32,3072
219,B,1,5180
219,B,2,5179
219,B,3,2898
219,B,4,2476
219,B,5,4305
219,B,6,4306
219,B,7,4615
219,B,8,4614
219,B,9,6953
219,B,10,6954
219,B,11,6955
219,B,12,6956
219,B,13,3761
219,B,14,4414
219,B,15,4415
219,B,16,2916
219,B,17,3037
219,B,18,5341
219,B,19,5342
219,B,20,5343
219,B,21,5344
219,B,22,5345
219,B,23,111
219,B,24,113
219,B,25,115
219,B,26,1955
219,B,27,2053
219,B,28,2475
219,B,29,698
219,B,30,699
219,B,31,4321
219,B,32,3072
107,A,1,6817
107,A,2,6816
107,A,3,6812
107,A,4,3320
107,A,5,2431
107,A,6,2432
107,A,7,2425
107,A,8,2307
107,A,9,2186
107,A,10,2147
107,A,11,2308
107,A,12,2309
107,A,13,1944
107,A,14,2012
107,A,15,1945
107,A,16,1862
107,A,17,1863
107,A,18,1940
107,A,19,2275
107,A,20,2276
107,A,21,2277
107,A,22,1062
107,A,23,1063
107,A,24,1064
107,A,25,1065
107,A,26,1066
107,A,27,1067
107,A,28,1068
107,A,29,1069
107,A,30,1070
107,A,31,1071
107,A,32,1072
107,A,33,1073
107,A,34,1074
107,A,35,1076
107,A,36,1078
107,A,37,1080
107,A,38,1082
107,A,39,1084
107,A,40,1086
107,A,41,1088
107,A,42,1090
107,A,43,1092
107,A,44,1094
107,A,45,1096
107,A,46,1098
107,A,47,1100
